name,category_id
Software Engineer,1
Backend Developer,1
Frontend Developer,1
Full Stack Developer,1
Mobile Developer,1
Web Developer,1
Java Developer,1
Python Developer,1
C++ Developer,1
PHP Developer,1
.NET Developer,1
Android Developer,1
iOS Developer,1
Game Developer,1
Data Analyst,2
Data Engineer,2
Data Scientist,2
ML Engineer,2
AI Engineer,2
BI Analyst,2
Research Engineer,2
NLP Engineer,2
Computer Vision Engineer,2
Prompt Engineer,2
Analytics Engineer,2
MLOps Engineer,2
Statistician,2
Quantitative Analyst,2
DevOps Engineer,3
Cloud Engineer,3
Platform Engineer,3
Site Reliability Engineer,3
Infrastructure Engineer,3
Systems Engineer,3
Cloud Architect,3
Release Engineer,3
Build Engineer,3
Container Engineer,3
Automation Engineer,3
Linux Engineer,3
Network Engineer,3
Database Administrator,3
Security Analyst,4
Security Engineer,4
SOC Analyst,4
Penetration Tester,4
Incident Responder,4
Governance Analyst,4
IAM Engineer,4
Cloud Security Engineer,4
Application Security Engineer,4
Security Consultant,4
Risk Analyst,4
Compliance Analyst,4
Forensics Analyst,4
Cryptography Engineer,4
QA Engineer,5
Automation Tester,5
Manual Tester,5
Performance Tester,5
Test Lead,5
Quality Engineer,5
SDET,5
Validation Engineer,5
QA Analyst,5
Software Tester,5
Mobile QA Engineer,5
API Tester,5
Accessibility Tester,5
Release QA Engineer,5
UI Designer,6
UX Designer,6
Product Designer,6
Interaction Designer,6
Visual Designer,6
Graphic Designer,6
Motion Designer,6
UX Researcher,6
Design System Designer,6
Illustrator,6
Creative Designer,6
Brand Designer,6
Web Designer,6
Accessibility Designer,6
Product Manager,7
Project Manager,7
Technical Product Manager,7
Program Manager,7
Scrum Master,7
Agile Coach,7
Delivery Manager,7
Technical Project Manager,7
Product Owner,7
PMO Analyst,7
Innovation Manager,7
Portfolio Manager,7
Release Manager,7
Transformation Manager,7
Business Analyst,8
Systems Analyst,8
Process Analyst,8
Requirements Engineer,8
ERP Consultant,8
Functional Consultant,8
Solutions Consultant,8
Digital Transformation Analyst,8
Business Consultant,8
Operations Analyst,8
Strategy Analyst,8
CRM Consultant,8
Implementation Consultant,8
Process Improvement Specialist,8
Marketing Specialist,9
Digital Marketing Specialist,9
SEO Specialist,9
SEM Specialist,9
Content Strategist,9
Content Writer,9
Social Media Manager,9
Brand Manager,9
Marketing Manager,9
Growth Marketer,9
Email Marketing Specialist,9
Performance Marketer,9
Community Manager,9
PR Specialist,9
Sales Representative,10
Account Executive,10
Business Development Representative,10
Sales Manager,10
Account Manager,10
Customer Success Manager,10
Solutions Engineer,10
Pre-Sales Consultant,10
Channel Manager,10
Partnership Manager,10
Inside Sales Representative,10
Enterprise Account Executive,10
Sales Operations Analyst,10
Revenue Operations Specialist,10
Accountant,11
Financial Analyst,11
Finance Manager,11
Auditor,11
Tax Consultant,11
Payroll Specialist,11
Controller,11
Treasury Analyst,11
Investment Analyst,11
Budget Analyst,11
Cost Accountant,11
Risk Manager,11
Bookkeeper,11
Compliance Officer,11
HR Generalist,12
Recruiter,12
Talent Acquisition Specialist,12
HR Manager,12
Learning and Development Specialist,12
People Operations Specialist,12
Compensation Analyst,12
HR Business Partner,12
Technical Recruiter,12
Employer Branding Specialist,12
Training Coordinator,12
HR Coordinator,12
Benefits Specialist,12
People Analyst,12
Operations Manager,13
Supply Chain Analyst,13
Procurement Specialist,13
Logistics Coordinator,13
Inventory Analyst,13
Facilities Manager,13
Process Manager,13
Operations Coordinator,13
Warehouse Manager,13
Planning Analyst,13
Vendor Manager,13
Manufacturing Engineer,13
Production Planner,13
Business Operations Specialist,13
Customer Support Specialist,14
Technical Support Engineer,14
Help Desk Technician,14
Support Analyst,14
Customer Success Specialist,14
Call Center Agent,14
Service Desk Analyst,14
Field Support Engineer,14
Implementation Specialist,14
Onboarding Specialist,14
Application Support Engineer,14
Support Manager,14
Client Services Specialist,14
Customer Experience Manager,14
Registered Nurse,15
Pharmacist,15
Medical Laboratory Scientist,15
Radiology Technician,15
Physiotherapist,15
Clinical Research Coordinator,15
Healthcare Administrator,15
Dentist,15
Physician,15
Medical Assistant,15
Nutritionist,15
Occupational Therapist,15
Healthcare Data Analyst,15
Public Health Specialist,15
Teacher,16
Lecturer,16
Teaching Assistant,16
Curriculum Developer,16
Academic Advisor,16
Instructional Designer,16
School Counselor,16
Education Coordinator,16
Professor,16
Trainer,16
Learning Consultant,16
Education Specialist,16
Research Assistant,16
Librarian,16
Mechanical Engineer,17
Electrical Engineer,17
Civil Engineer,17
Industrial Engineer,17
Chemical Engineer,17
Biomedical Engineer,17
Electronics Engineer,17
Robotics Engineer,17
CAD Engineer,17
Structural Engineer,17
Energy Engineer,17
Maintenance Engineer,17
Legal Counsel,18
Paralegal,18
Legal Assistant,18
Compliance Manager,18
Contract Administrator,18
Office Administrator,18
Executive Assistant,18
Administrative Assistant,18
Records Manager,18
Policy Analyst,18
Corporate Secretary,18
Documentation Specialist,18
Office Manager,18
Governance Officer,18
